file,F1,F2,F3
arabi_1.wav,421.79,1262.73,2260.26
arabi_2.wav,636.05,1192.12,2333.82
arabi_3.wav,485.27,1806.59,2680.48
arabi_4.wav,609.09,1234.20,2333.82
arabi_5.wav,1378.88,2607.06,3791.51

qalam_1.wav,216.11,1845.40,2976.66
qalam_2.wav,598.20,1215.74,2887.19
qalam_3.wav,911.53,1635.93,2936.42
qalam_4.wav,220.53,1648.02,2722.87
qalam_5.wav,852.95,1879.04,2961.28

tareeq_1.wav,250.38,2482.41,3071.51
tareeq_2.wav,659.13,1333.57,3252.84
tareeq_3.wav,409.05,1977.76,2705.93
tareeq_4.wav,1189.56,1977.65,2484.76
tareeq_5.wav,361.11,1922.04,2250.53

daw'_1.wav,577.24,1767.17,3028.65
daw'_2.wav,325.99,662.61,3233.32
daw'_3.wav,487.16,817.20,2950.92
daw'_4.wav,1092.80,1936.88,2534.30
daw'_5.wav,867.07,1475.56,2511.38

ghurfa_1.wav,775.39,2190.11,3453.20
ghurfa_2.wav,1331.17,2252.08,3239.15
ghurfa_3.wav,350.23,1759.74,3017.08
ghurfa_4.wav,494.80,1439.25,2271.41
ghurfa_5.wav,939.25,1767.49,3017.47

hadeka_1.wav,1017.98,2289.75,3853.10
hadeka_2.wav,334.15,1984.62,2932.95
hadeka_3.wav,525.63,1532.55,2893.67
hadeka_4.wav,1120.39,2546.32,3517.19
hadeka_5.wav,755.40,1821.43,3569.80

khalid_1.wav,511.88,1812.05,3053.32
khalid_2.wav,261.41,1520.51,3088.13
khalid_3.wav,523.69,1847.03,2905.83
khalid_4.wav,368.28,2320.50,3199.03
khalid_5.wav,587.17,1751.68,2694.16

sadeeq_1.wav,374.29,2820.65,3481.86
sadeeq_2.wav,275.34,2738.24,2973.46
sadeeq_3.wav,429.25,2412.22,2906.01
sadeeq_4.wav,863.52,1595.79,3120.42
sadeeq_5.wav,1355.53,2795.13,3736.20

thalatha_1.wav,779.27,1171.19,2664.45
thalatha_2.wav,538.47,1744.59,2995.22
thalatha_3.wav,613.18,1984.32,3072.19
thalatha_4.wav,684.11,2292.84,3302.95
thalatha_5.wav,614.30,2012.46,2756.21

zarf_1.wav,692.02,2094.38,3230.31
zarf_2.wav,1597.83,2400.97,3328.67
zarf_3.wav,748.05,1562.98,2611.18
zarf_4.wav,818.50,1431.05,3420.70
zarf_5.wav,979.18,2191.35,2698.94

zarf_wrong.wav,690.76,1577.71,3210.65
