word,test_file,speaker,MFCC_score,Pitch_score,Duration_score,Formant_score,ZCR_score,Spectral_score,Final_score,Feedback
arabi,arabi_1.wav,1,96.99,96.33,81.82,75.57,86.76,94.81,87.43,Excellent pronunciation
arabi,arabi_2.wav,2,99.5,86.38,94.44,79.57,96.04,92.69,89.93,Excellent pronunciation
arabi,arabi_3.wav,3,98.44,85.59,94.44,87.56,94.58,95.2,92.44,Excellent pronunciation
arabi,arabi_4.wav,4,98.83,87.24,90.0,80.36,82.01,91.82,88.38,Excellent pronunciation
arabi,arabi_5.wav,5,97.44,48.96,77.78,61.68,92.61,96.69,78.53,Good pronunciation
arabi,arabi_wrong.wav,wrong,94.44,96.25,66.67,0.0,49.78,92.77,55.55,Needs improvement
daw',daw'_1.wav,1,99.59,89.22,96.94,81.28,83.11,95.86,89.99,Excellent pronunciation
daw',daw'_2.wav,2,99.5,93.51,75.38,57.22,84.38,82.76,79.71,Good pronunciation
daw',daw'_3.wav,3,98.99,75.36,66.33,70.68,87.34,93.38,83.36,Good pronunciation
daw',daw'_4.wav,4,99.62,99.54,78.4,71.3,71.97,73.01,83.21,Good pronunciation
daw',daw'_5.wav,5,99.33,62.18,76.53,87.23,79.08,76.36,85.92,Excellent pronunciation
ghurfa,ghurfa_1.wav,1,98.56,88.9,83.0,88.85,83.73,88.17,90.9,Excellent pronunciation
ghurfa,ghurfa_2.wav,2,99.03,91.89,84.34,80.35,83.7,75.92,87.2,Excellent pronunciation
ghurfa,ghurfa_3.wav,3,99.01,97.82,84.34,85.0,63.77,87.19,88.55,Excellent pronunciation
ghurfa,ghurfa_4.wav,4,99.48,95.83,92.22,73.75,68.18,69.56,83.62,Good pronunciation
ghurfa,ghurfa_5.wav,5,97.99,72.11,97.65,92.81,77.43,96.12,91.33,Excellent pronunciation
hadeka,hadeka_1.wav,1,98.87,91.9,68.09,85.48,98.44,96.91,91.71,Excellent pronunciation
hadeka,hadeka_2.wav,2,95.17,71.44,50.0,84.91,88.55,90.45,85.81,Excellent pronunciation
hadeka,hadeka_3.wav,3,95.71,81.48,62.5,76.45,99.45,87.64,85.45,Excellent pronunciation
hadeka,hadeka_4.wav,4,99.42,92.32,96.88,80.42,98.02,88.47,90.7,Excellent pronunciation
hadeka,hadeka_5.wav,5,99.21,53.07,69.57,92.37,89.65,91.35,88.98,Excellent pronunciation
khalid,khalid_1.wav,1,98.64,99.59,75.2,95.93,76.96,84.08,92.99,Excellent pronunciation
khalid,khalid_2.wav,2,98.47,87.41,89.52,80.26,93.71,82.71,88.49,Excellent pronunciation
khalid,khalid_3.wav,3,98.13,80.9,74.47,96.55,94.24,97.13,94.18,Excellent pronunciation
khalid,khalid_4.wav,4,99.07,96.05,89.52,82.88,77.13,85.4,89.06,Excellent pronunciation
khalid,khalid_5.wav,5,96.56,58.28,69.15,90.18,80.12,77.38,85.57,Excellent pronunciation
qalam,qalam_1.wav,1,98.82,98.06,82.22,80.66,95.93,86.03,89.99,Excellent pronunciation
qalam,qalam_2.wav,2,98.12,99.23,87.06,83.0,95.04,86.72,90.94,Excellent pronunciation
qalam,qalam_3.wav,3,90.83,83.68,81.08,91.69,80.81,95.73,89.42,Excellent pronunciation
qalam,qalam_4.wav,4,97.55,88.12,87.06,86.56,94.72,90.38,91.23,Excellent pronunciation
qalam,qalam_5.wav,5,95.71,68.18,67.57,85.21,82.25,72.95,84.25,Good pronunciation
sadeeq,sadeeq_1.wav,1,96.4,92.27,91.72,82.57,57.28,74.02,84.76,Good pronunciation
sadeeq,sadeeq_2.wav,2,98.42,98.91,75.19,80.86,96.37,97.06,90.82,Excellent pronunciation
sadeeq,sadeeq_3.wav,3,88.87,86.56,52.63,89.47,76.42,76.35,84.54,Good pronunciation
sadeeq,sadeeq_4.wav,4,97.29,76.59,63.91,73.24,97.19,95.41,84.94,Good pronunciation
sadeeq,sadeeq_5.wav,5,98.4,44.43,50.19,80.17,55.43,84.14,78.49,Good pronunciation
tareeq,tareeq_1.wav,1,98.96,90.28,72.22,73.51,70.62,93.26,84.44,Good pronunciation
tareeq,tareeq_2.wav,2,98.53,93.46,100.0,75.61,99.99,94.43,89.81,Excellent pronunciation
tareeq,tareeq_3.wav,3,98.13,78.07,61.11,92.73,96.03,98.36,92.2,Excellent pronunciation
tareeq,tareeq_4.wav,4,98.69,98.67,62.07,86.52,64.32,80.08,87.3,Excellent pronunciation
tareeq,tareeq_5.wav,5,98.81,55.47,94.74,88.42,77.87,77.47,86.41,Excellent pronunciation
thalatha,thalatha_1.wav,1,98.57,95.39,85.45,72.76,83.14,85.48,85.71,Excellent pronunciation
thalatha,thalatha_2.wav,2,98.46,97.28,94.0,93.28,76.21,83.71,92.61,Excellent pronunciation
thalatha,thalatha_3.wav,3,97.86,82.01,85.11,93.91,98.13,92.22,93.72,Excellent pronunciation
thalatha,thalatha_4.wav,4,97.96,90.83,95.74,84.97,71.22,76.24,87.74,Excellent pronunciation
thalatha,thalatha_5.wav,5,93.99,65.86,95.74,92.55,64.98,75.89,86.05,Excellent pronunciation
zarf,zarf_1.wav,1,96.79,89.99,88.0,88.71,76.99,86.22,89.81,Excellent pronunciation
zarf,zarf_2.wav,2,98.29,93.95,98.48,78.86,70.02,94.91,87.9,Excellent pronunciation
zarf,zarf_3.wav,3,97.63,94.11,90.91,80.98,87.97,97.26,90.11,Excellent pronunciation
zarf,zarf_4.wav,4,97.16,72.14,88.0,79.15,83.18,86.02,85.39,Excellent pronunciation
zarf,zarf_5.wav,5,94.57,49.72,83.33,90.42,83.33,64.27,83.92,Good pronunciation
